stage,label,direction,lane_mask,requested_useful_bytes,encoded_transfer_bytes,sender_role,elapsed_ticks,timer_frequency_hz,elapsed_seconds,reported_legacy_bps,recomputed_encoded_ps_command_bps,recomputed_useful_ps_command_bps,measurement_class,diagnostic_only,eligible_for_scaling,source_path,source_sha256
P10-J,soak_00125_1048576_d1,R_TO_F,3,1048576,1048576,rotating,2404224726,333333343,7.212673968832455,1163037.1809746306,1163037.1809746306,1163037.1809746306,SOAK_WINDOW,False,False,evidence/hardware/p10/p10_formal_20260730T181535Z_03/stages/p10_j/stage_summary.json,f799b659b2f1a3502d7fa6544d49bae61b443420a0725df1bec451ae44ffd6f3
P10-J,soak_00126_4096_d0,F_TO_R,3,4096,4096,fixed,9800082,333333343,0.02940024514739289,1114548.529637201,1114548.529637201,1114548.529637201,SOAK_WINDOW,False,False,evidence/hardware/p10/p10_formal_20260730T181535Z_03/stages/p10_j/stage_summary.json,f799b659b2f1a3502d7fa6544d49bae61b443420a0725df1bec451ae44ffd6f3
P10-J,soak_00127_65536_d1,R_TO_F,3,65536,65536,rotating,150627605,333333343,0.45188280189539876,1160230.037082406,1160230.037082406,1160230.037082406,SOAK_WINDOW,False,False,evidence/hardware/p10/p10_formal_20260730T181535Z_03/stages/p10_j/stage_summary.json,f799b659b2f1a3502d7fa6544d49bae61b443420a0725df1bec451ae44ffd6f3
P10-J,soak_00128_1048576_d0,F_TO_R,3,1048576,1048576,fixed,2405153349,333333343,7.2154598377516646,1162588.135562804,1162588.135562804,1162588.135562804,SOAK_WINDOW,False,False,evidence/hardware/p10/p10_formal_20260730T181535Z_03/stages/p10_j/stage_summary.json,f799b659b2f1a3502d7fa6544d49bae61b443420a0725df1bec451ae44ffd6f3
P10-J,soak_00129_4096_d1,R_TO_F,3,4096,4096,rotating,9800215,333333343,0.02940064414738132,1114533.4039532805,1114533.4039532805,1114533.4039532805,SOAK_WINDOW,False,False,evidence/hardware/p10/p10_formal_20260730T181535Z_03/stages/p10_j/stage_summary.json,f799b659b2f1a3502d7fa6544d49bae61b443420a0725df1bec451ae44ffd6f3
P10-J,soak_00130_65536_d0,F_TO_R,3,65536,65536,fixed,150685147,333333343,0.4520554278903926,1159786.9810936574,1159786.9810936574,1159786.9810936574,SOAK_WINDOW,False,False,evidence/hardware/p10/p10_formal_20260730T181535Z_03/stages/p10_j/stage_summary.json,f799b659b2f1a3502d7fa6544d49bae61b443420a0725df1bec451ae44ffd6f3
P10-J,soak_00131_1048576_d1,R_TO_F,3,1048576,1048576,rotating,2404225746,333333343,7.212677028832366,1163036.6875526106,1163036.6875526106,1163036.6875526106,SOAK_WINDOW,False,False,evidence/hardware/p10/p10_formal_20260730T181535Z_03/stages/p10_j/stage_summary.json,f799b659b2f1a3502d7fa6544d49bae61b443420a0725df1bec451ae44ffd6f3
P10-J,soak_00132_4096_d0,F_TO_R,3,4096,4096,fixed,9800500,333333343,0.029401499147356524,1114500.9931558594,1114500.9931558594,1114500.9931558594,SOAK_WINDOW,False,False,evidence/hardware/p10/p10_formal_20260730T181535Z_03/stages/p10_j/stage_summary.json,f799b659b2f1a3502d7fa6544d49bae61b443420a0725df1bec451ae44ffd6f3
P10-J,soak_00133_65536_d1,R_TO_F,3,65536,65536,rotating,150683019,333333343,0.4520490438905777,1159803.3600241577,1159803.3600241577,1159803.3600241577,SOAK_WINDOW,False,False,evidence/hardware/p10/p10_formal_20260730T181535Z_03/stages/p10_j/stage_summary.json,f799b659b2f1a3502d7fa6544d49bae61b443420a0725df1bec451ae44ffd6f3
P10-J,soak_00134_1048576_d0,F_TO_R,3,1048576,1048576,fixed,2405165335,333333343,7.215495795750622,1162582.3418732018,1162582.3418732018,1162582.3418732018,SOAK_WINDOW,False,False,evidence/hardware/p10/p10_formal_20260730T181535Z_03/stages/p10_j/stage_summary.json,f799b659b2f1a3502d7fa6544d49bae61b443420a0725df1bec451ae44ffd6f3
P10-J,soak_00135_4096_d1,R_TO_F,3,4096,4096,rotating,9798598,333333343,0.029395793147521998,1114717.3282773718,1114717.3282773718,1114717.3282773718,SOAK_WINDOW,False,False,evidence/hardware/p10/p10_formal_20260730T181535Z_03/stages/p10_j/stage_summary.json,f799b659b2f1a3502d7fa6544d49bae61b443420a0725df1bec451ae44ffd6f3
P10-J,soak_00136_65536_d0,F_TO_R,3,65536,65536,fixed,150643201,333333343,0.4519295898940419,1160109.9191644501,1160109.9191644501,1160109.9191644501,SOAK_WINDOW,False,False,evidence/hardware/p10/p10_formal_20260730T181535Z_03/stages/p10_j/stage_summary.json,f799b659b2f1a3502d7fa6544d49bae61b443420a0725df1bec451ae44ffd6f3
